doc_id,fname,sentence,sentence_without_stopwords,cooperative
916,COOP POL FED - SICREDI POL\demonstracoes_financeiras_20222_sicredi_pol_rs_sc,"Below we list some initiatives carried out in 2022: •Women's Committee: Seeking to promote diversity and form new leaders for Cooperativism, Sicredi Pol - RS/SC, together with the other Segmented Cooperatives, has been working and improving the Women's Committee, with initiatives with the public we serve.","list initiatives carried 2022: •Women's Committee: Seeking promote diversity form new leaders Cooperativism, Pol - RS/SC, together Segmented Cooperatives, working improving Women's Committee, initiatives public serve.",COOP POL FED - SICREDI POL
1197,COOP SICREDI AGROEMPRESARIAL\relatorio_anual_2022_-_sicredi_agroempresarial,"Check out how the Youth and Women Committee Meeting went in 2022 by scanning this QR Code28Annual Report 2022 Sicredi Agroempresarial PR/SP The Women's Committee exists to promote equity in gender, the empowerment and training of women so that they can increasingly assume leading and leadership roles in cooperatives and communities.","Check Youth Women Committee Meeting went 2022 scanning QR Code28Annual Report 2022 Agroempresarial PR/SP Women's Committee exists promote equity gender, empowerment training women increasingly assume leading leadership roles cooperatives communities.",COOP SICREDI AGROEMPRESARIAL
1200,COOP SICREDI AGROEMPRESARIAL\relatorio_anual_2022_-_sicredi_agroempresarial,"More than 2,500 women participate in the Women in Brazil Committee, in more than 40 committees formed by cooperatives in eight states.","2,500 women participate Women Brazil Committee, 40 committees formed cooperatives eight states.",COOP SICREDI AGROEMPRESARIAL
1202,COOP SICREDI AGROEMPRESARIAL\relatorio_anual_2022_-_sicredi_agroempresarial,"Sicredi gives a voice and a place to us, women, focusing on creating a space of our own with lectures, courses and experiences to train female leaders.","gives voice place us, women, focusing creating space lectures, courses experiences train female leaders.",COOP SICREDI AGROEMPRESARIAL
1204,COOP SICREDI AGROEMPRESARIAL\relatorio_anual_2022_-_sicredi_agroempresarial,Look for your agency and find out how to participate in the Women’s Committee.,Look agency find participate Women’s Committee.,COOP SICREDI AGROEMPRESARIAL
1253,COOP SICREDI AGROEMPRESARIAL\relatorio_anual_2022_-_sicredi_agroempresarial,"To determine this indicator, employees answered the question: “On a scale of 0 to 10, how much would you recommend this company to a friend to work for?” 39 Annual Report 2022 Sicredi Agroempresarial PR/SPFunctional Staff Men Women Total Senior leadership 5 0 5 Management 35 30 65 Professionals 162 267 429 Interns 10 20 30 Young Apprentice 1 6 7 General 213 323 536 Age Group Men Women Total Up to 20 years old 11 16 27 From 21 to 30 years old 84 141 225 From 31 to 40 years old 70 123 193 From 41 to 50 years old 32 38 70 Over 50 years old 16 5 21 General 213 323 536 Total Education Masters 1 Postgraduate 170 Undergraduate 351 High School 14 General 536Internal actions Internally, we carry out several actions as a way of valuing the daily dedication and commitment of our employees.","determine indicator, employees answered question: “On scale 0 10, much would recommend company friend work for?” 39 Annual Report 2022 Agroempresarial PR/SPFunctional Staff Men Women Total Senior leadership 5 0 5 Management 35 30 65 Professionals 162 267 429 Interns 10 20 30 Young Apprentice 1 6 7 General 213 323 536 Age Group Men Women Total 20 years old 11 16 27 21 30 years old 84 141 225 31 40 years old 70 123 193 41 50 years old 32 38 70 50 years old 16 5 21 General 213 323 536 Total Education Masters 1 Postgraduate 170 Undergraduate 351 High School 14 General 536Internal actions Internally, carry several actions way valuing daily dedication commitment employees.",COOP SICREDI AGROEMPRESARIAL
1254,COOP SICREDI AGROEMPRESARIAL\relatorio_anual_2022_-_sicredi_agroempresarial,"In 2022, we will deliver gifts on Women's Day, Mother's Day, Father's Day, Men's Day, among other commemorative dates.","2022, deliver gifts Women's Day, Mother's Day, Father's Day, Men's Day, among commemorative dates.",COOP SICREDI AGROEMPRESARIAL
1298,COOP SICREDI AGROEMPRESARIAL\relatorio_anual_2022_-_sicredi_agroempresarial,"With the Social Fund we can contribute to projects that have already positively impacted society and thus, aligning our interest in the community with the initiative of men and women who make a difference, we cooperate for a better world.","Social Fund contribute projects already positively impacted society thus, aligning interest community initiative men women make difference, cooperate better world.",COOP SICREDI AGROEMPRESARIAL
1338,COOP SICREDI AGROEMPRESARIAL\relatorio_anual_2022_-_sicredi_agroempresarial,"We also made progress with the Committees Women and Young People, we strengthened this action with the cooperative, resulting in excellent results, with appreciation and active participation, including in the administration of the cooperative, establishing leaders in order to guarantee the continuity of Sicredi Agroempresarial PR/SP.","also made progress Committees Women Young People, strengthened action cooperative, resulting excellent results, appreciation active participation, including administration cooperative, establishing leaders order guarantee continuity Agroempresarial PR/SP.",COOP SICREDI AGROEMPRESARIAL
1384,COOP SICREDI AGROEMPRESARIAL\relatorio_anual_2022_-_sicredi_agroempresarial,"Eliza Brierley First woman to join a cooperative, 82 years before women gained the right to vote.","Eliza Brierley First woman join cooperative, 82 years women gained right vote.",COOP SICREDI AGROEMPRESARIAL
